测量电压值（采集30分钟，每秒钟记录50次）,测量电流值（采集30分钟，每秒钟记录50次）,测量功率值（采集30分钟，每秒钟记录50次）
227.41,0.026343,4.6453
227.4,0.026397,4.6393
227.39,0.026412,4.6301
227.39,0.02633,4.6139
227.39,0.026323,4.6232
227.38,0.026424,4.6664
227.38,0.026463,4.659
227.38,0.026407,4.6576
227.37,0.026456,4.675
227.37,0.026431,4.6378
227.37,0.026409,4.6378
227.36,0.02662,4.6875
227.36,0.026412,4.6463
227.36,0.026475,4.6699
227.36,0.026375,4.6396
227.36,0.026507,4.6771
227.36,0.026262,4.6094
227.35,0.026248,4.6164
227.35,0.026437,4.6142
227.35,0.026251,4.6028
227.35,0.02628,4.6188
227.35,0.026413,4.6386
227.35,0.026289,4.6052
227.35,0.026401,4.6596
227.35,0.026429,4.6405
227.35,0.026238,4.6016
227.35,0.026434,4.639
227.35,0.0264,4.6336
227.35,0.026261,4.6148
227.34,0.026225,4.6136
227.34,0.026246,4.6515
227.34,0.026407,4.6544
227.34,0.02624,4.6113
227.34,0.026212,4.6004
227.34,0.026229,4.5937
227.33,0.026185,4.6072
227.33,0.026231,4.6276
227.33,0.026268,4.604
227.33,0.026196,4.5893
227.33,0.02622,4.6031
227.33,0.026328,4.6089
227.33,0.026292,4.6376
227.33,0.02642,4.6359
227.33,0.026446,4.6462
227.33,0.026404,4.6262
227.33,0.026219,4.5827
227.33,0.026445,4.6593
227.33,0.026383,4.637
227.33,0.026405,4.6367
227.33,0.026302,4.6043
227.33,0.026389,4.6464
227.32,0.0265,4.6441
227.32,0.026426,4.6809
227.32,0.026345,4.6558
227.32,0.026359,4.6365
227.32,0.026239,4.6212
227.32,0.02625,4.582
227.32,0.026206,4.6
227.32,0.026312,4.648
227.32,0.026364,4.6339
227.32,0.026364,4.637
227.32,0.02624,4.5816
227.32,0.026159,4.5918
227.32,0.026214,4.602
227.32,0.026314,4.6328
227.32,0.02633,4.6404
227.32,0.026258,4.6223
227.32,0.026217,4.6044
227.32,0.026286,4.6131
227.32,0.026369,4.6272
227.32,0.026375,4.6392
227.32,0.026394,4.6185
227.31,0.02618,4.5793
227.31,0.026308,4.6367
227.31,0.026152,4.6026
227.31,0.026456,4.6535
227.31,0.026376,4.6388
227.31,0.026499,4.654
227.31,0.026293,4.6038
227.31,0.026121,4.5831
227.31,0.026415,4.6328
227.31,0.026194,4.6054
227.31,0.026229,4.6091
227.31,0.026485,4.6546
227.31,0.02648,4.6507
227.31,0.026266,4.6162
227.31,0.026369,4.653
227.31,0.026411,4.6581
227.31,0.026283,4.6032
227.31,0.026365,4.6298
227.31,0.026271,4.6146
227.31,0.026267,4.6247
227.31,0.026399,4.656
227.31,0.026141,4.5724
227.31,0.026337,4.6226
227.31,0.026313,4.6352
227.3,0.026365,4.6322
227.3,0.026391,4.6428
227.3,0.026442,4.6451
227.3,0.026317,4.6016
227.3,0.026467,4.6514
227.3,0.026388,4.6429
227.3,0.026374,4.6115
227.3,0.026363,4.6262
227.3,0.026413,4.6522
227.3,0.026555,4.6861
227.3,0.026263,4.6145
227.3,0.026362,4.6455
227.3,0.026417,4.638
227.3,0.026341,4.6341
227.3,0.026511,4.6379
227.3,0.026495,4.6638
227.3,0.026281,4.6223
227.3,0.026296,4.594
227.3,0.026335,4.6157
227.3,0.026283,4.6341
227.3,0.026302,4.6288
227.3,0.026319,4.6146
227.3,0.026339,4.6464
227.3,0.026165,4.6081
227.3,0.026178,4.5903
227.3,0.026408,4.6401
227.3,0.026548,4.6661
227.3,0.02651,4.6593
227.3,0.026283,4.6224
227.3,0.026303,4.6056
227.29,0.026389,4.6348
227.29,0.02641,4.6328
227.29,0.026406,4.6215
227.29,0.026225,4.5812
227.29,0.026494,4.6405
227.29,0.026262,4.6034
227.29,0.026245,4.6089
227.29,0.026152,4.5684
227.29,0.026444,4.6617
227.29,0.026269,4.5975
227.29,0.026271,4.6176
227.29,0.026206,4.6113
227.29,0.026422,4.6485
227.29,0.02641,4.6472
227.29,0.026429,4.6303
227.29,0.026259,4.6129
227.29,0.026346,4.6177
227.29,0.026417,4.6558
227.29,0.026327,4.6209
227.29,0.026206,4.6032
227.29,0.026341,4.6282
227.29,0.026237,4.6058
227.29,0.026293,4.6119
227.29,0.026205,4.6054
227.29,0.026509,4.6376
227.29,0.026386,4.6564
227.29,0.026396,4.6503
227.29,0.026269,4.6108
227.29,0.02637,4.6078
227.29,0.026269,4.6167
227.29,0.026275,4.6204
227.29,0.026378,4.6299
227.29,0.026463,4.6673
227.29,0.026345,4.6133
227.29,0.026397,4.6189
227.29,0.02635,4.6395
227.29,0.026482,4.642
227.29,0.026355,4.652
227.29,0.0262,4.6079
227.29,0.026297,4.6308
227.28,0.026195,4.6004
227.28,0.026429,4.6639
227.28,0.02655,4.6489
227.28,0.026366,4.6504
227.28,0.026248,4.6143
227.28,0.026133,4.6029
227.28,0.026352,4.6137
227.28,0.026485,4.6672
227.28,0.026334,4.6471
227.28,0.026258,4.5978
227.28,0.026469,4.6662
227.28,0.026403,4.6196
227.28,0.026405,4.6333
227.28,0.026156,4.5668
227.28,0.02619,4.5953
227.28,0.026254,4.6258
227.28,0.026289,4.6247
227.28,0.026333,4.6238
227.28,0.026444,4.6509
227.28,0.026312,4.6291
227.28,0.026424,4.6149
227.28,0.026261,4.6001
227.28,0.026098,4.5846
227.28,0.026224,4.6021
227.28,0.026212,4.5995
227.28,0.026268,4.6045
227.28,0.02632,4.6338
227.28,0.026503,4.6436
227.28,0.026258,4.5959
227.28,0.02646,4.6456
227.28,0.026279,4.6327
227.28,0.02623,4.6059
227.28,0.026366,4.6239
227.28,0.026285,4.6309
227.28,0.026404,4.6396
227.28,0.02624,4.6228
227.28,0.026346,4.6341
227.28,0.026432,4.6503
227.28,0.026322,4.6205
227.28,0.026319,4.6338
227.28,0.026534,4.6796
227.28,0.02643,4.6577
227.27,0.026237,4.6026
227.27,0.026188,4.6132
227.27,0.026434,4.6276
227.27,0.026348,4.6233
227.27,0.026454,4.6576
227.27,0.026182,4.6027
227.27,0.02638,4.6298
227.27,0.026149,4.5831
227.27,0.026319,4.6232
227.27,0.026315,4.6204
227.27,0.026202,4.6163
227.27,0.026225,4.618
227.27,0.026301,4.6039
227.27,0.026419,4.6511
227.27,0.026439,4.6614
227.27,0.026291,4.6181
227.27,0.026314,4.619
227.27,0.026329,4.6178
227.27,0.02628,4.6048
227.27,0.026308,4.6367
227.27,0.026282,4.6222
227.27,0.02644,4.6538
227.27,0.026237,4.5969
227.27,0.026231,4.6132
227.27,0.026228,4.6253
227.27,0.026302,4.6266
227.27,0.026226,4.5983
227.27,0.026305,4.6107
227.27,0.02635,4.6285
227.27,0.026424,4.638
227.27,0.026282,4.6205
227.27,0.026337,4.6178
227.27,0.026303,4.6406
227.27,0.026439,4.6416
227.27,0.026288,4.6346
227.27,0.026413,4.6479
227.27,0.026054,4.5854
227.27,0.026397,4.6512
227.27,0.026397,4.6326
227.27,0.026348,4.623
227.27,0.026444,4.6376
227.27,0.026462,4.6576
227.27,0.02619,4.6022
227.27,0.026365,4.6326
227.27,0.02639,4.6185
227.27,0.026496,4.662
227.27,0.026317,4.6078
227.27,0.026354,4.624
227.27,0.026404,4.6337
227.27,0.026195,4.5834
227.27,0.026537,4.6312
227.27,0.02614,4.5949
227.27,0.026345,4.6314
227.27,0.026281,4.6222
227.27,0.026281,4.6423
227.27,0.026252,4.6185
227.27,0.026244,4.643
227.26,0.026352,4.6407
227.26,0.026248,4.5999
227.26,0.026251,4.6232
227.26,0.026316,4.6314
227.26,0.026393,4.6449
227.26,0.026244,4.6083
227.26,0.026393,4.6388
227.26,0.026324,4.6447
227.26,0.026277,4.6179
227.26,0.026465,4.6293
227.26,0.026351,4.6454
227.26,0.026342,4.6213
227.26,0.026308,4.6363
227.26,0.026312,4.6559
227.26,0.026361,4.6303
227.26,0.026216,4.6024
227.26,0.02625,4.6215
227.26,0.02642,4.6275
227.26,0.026259,4.6313
227.26,0.026385,4.6391
227.26,0.02635,4.6259
227.26,0.02634,4.6348
227.26,0.026322,4.6026
227.26,0.02635,4.6209
227.26,0.026404,4.6663
227.26,0.026359,4.5988
227.26,0.026319,4.6322
227.26,0.026426,4.6376
227.26,0.026278,4.6092
227.26,0.026241,4.6021
227.26,0.026247,4.5858
227.26,0.026412,4.6199
227.26,0.026288,4.6012
227.26,0.026407,4.6268
227.26,0.026366,4.6438
227.26,0.026344,4.6127
227.26,0.026379,4.6292
227.26,0.026445,4.6387
227.26,0.026534,4.6693
227.26,0.026249,4.6077
227.26,0.026441,4.6496
227.26,0.026527,4.655
227.26,0.026327,4.6108
227.26,0.026387,4.659
227.26,0.026341,4.6462
227.26,0.026432,4.6402
227.26,0.026445,4.6314
227.26,0.026378,4.6181
227.26,0.026371,4.6363
227.26,0.026417,4.6444
227.26,0.026334,4.635
227.26,0.026293,4.6165
227.26,0.02632,4.6235
227.26,0.026271,4.6202
227.26,0.026376,4.6328
227.26,0.02638,4.6219
227.26,0.026363,4.6406
227.26,0.026441,4.6398
227.26,0.026203,4.5785
227.26,0.026364,4.6548
227.25,0.026327,4.6232
227.25,0.02624,4.598
227.25,0.026426,4.627
227.25,0.02639,4.6472
227.25,0.026251,4.6312
227.25,0.026319,4.6494
227.25,0.026334,4.6159
227.25,0.026215,4.6201
227.25,0.026246,4.6024
227.25,0.026436,4.6186
227.25,0.026328,4.6263
227.25,0.026216,4.6007
227.25,0.026266,4.6256
227.25,0.026527,4.6411
227.25,0.026378,4.6475
227.25,0.026285,4.6127
227.25,0.026296,4.6348
227.25,0.02622,4.6148
227.25,0.026291,4.6155
227.25,0.026347,4.6174
227.25,0.026332,4.6311
227.25,0.026334,4.6264
227.25,0.026415,4.6199
227.25,0.02629,4.6156
227.25,0.026183,4.5913
227.25,0.026164,4.5987
227.25,0.026357,4.6385
227.25,0.026317,4.6178
227.25,0.026371,4.6614
227.25,0.026286,4.629
227.25,0.02632,4.6402
227.25,0.026365,4.6384
227.25,0.026424,4.6594
227.25,0.026381,4.6452
227.25,0.026445,4.6378
227.25,0.026249,4.6024
227.25,0.026415,4.6442
227.25,0.02627,4.6091
227.25,0.026161,4.583
227.25,0.026487,4.6574
227.25,0.026311,4.6418
227.25,0.026327,4.616
227.25,0.026246,4.6278
227.25,0.026115,4.6007
227.25,0.02642,4.6
227.25,0.02627,4.582
227.25,0.026206,4.6034
227.25,0.026296,4.6237
227.25,0.026468,4.6312
227.25,0.026411,4.6498
227.25,0.026246,4.6014
227.25,0.026315,4.6197
227.25,0.026374,4.6446
227.25,0.026212,4.596
227.25,0.026319,4.6249
227.25,0.026413,4.6287
227.25,0.026259,4.615
227.25,0.026449,4.6574
227.25,0.026248,4.6113
227.25,0.026345,4.6173
227.25,0.026275,4.6049
227.25,0.026375,4.6176
227.25,0.026255,4.606
227.25,0.026384,4.6303
227.25,0.026396,4.6334
227.25,0.026357,4.6212
227.25,0.026403,4.6462
227.25,0.026301,4.6163
227.25,0.026281,4.6005
227.25,0.026366,4.6419
227.25,0.02625,4.6295
227.25,0.026409,4.6592
227.24,0.026235,4.603
227.24,0.026389,4.6324
227.24,0.026193,4.596
227.24,0.026285,4.6169
227.24,0.026331,4.6198
227.24,0.026371,4.6607
227.24,0.026414,4.6151
227.24,0.026405,4.6161
227.24,0.026171,4.5861
227.24,0.026274,4.6095
227.24,0.026141,4.5873
227.24,0.026241,4.5794
227.24,0.026183,4.5966
227.24,0.026302,4.6401
227.24,0.02642,4.6513
227.24,0.026326,4.6313
227.24,0.02639,4.6402
227.24,0.026268,4.5911
227.24,0.026325,4.6415
227.24,0.026187,4.6169
227.24,0.026445,4.6484
227.24,0.026206,4.6072
227.24,0.026373,4.6484
227.24,0.02638,4.643
227.24,0.026274,4.5965
227.24,0.026195,4.587
227.24,0.026359,4.6242
227.24,0.026341,4.6194
227.24,0.026074,4.6034
227.24,0.026149,4.5807
227.24,0.026349,4.6062
227.24,0.02631,4.633
227.24,0.026368,4.6192
227.24,0.026286,4.6199
227.24,0.026323,4.6231
227.24,0.026318,4.6583
227.24,0.026453,4.6491
227.24,0.026383,4.6443
227.24,0.026099,4.6034
227.24,0.026219,4.5994
227.24,0.026526,4.6572
227.24,0.026316,4.6163
227.24,0.02634,4.6234
227.24,0.02645,4.6686
227.24,0.026289,4.6265
227.24,0.026335,4.6133
227.24,0.026173,4.6082
227.24,0.026318,4.6228
227.24,0.026497,4.6496
227.24,0.026248,4.5987
227.24,0.026399,4.6502
227.24,0.026431,4.6138
227.24,0.02625,4.6089
227.24,0.026296,4.6114
227.24,0.026459,4.665
227.24,0.026213,4.601
227.24,0.026244,4.6028
227.24,0.026215,4.5798
227.24,0.026268,4.6006
227.24,0.026139,4.5938
227.24,0.026338,4.5896
227.24,0.02618,4.6071
227.24,0.026161,4.5788
227.23,0.026278,4.6243
227.23,0.02636,4.6048
227.23,0.026275,4.6225
227.23,0.026434,4.6335
227.23,0.026382,4.6316
227.23,0.026244,4.6236
227.23,0.026161,4.6077
227.23,0.026355,4.6409
227.23,0.026365,4.6287
227.23,0.026303,4.6315
227.23,0.026308,4.6107
227.23,0.026458,4.6225
227.23,0.026438,4.6477
227.23,0.02641,4.6294
227.23,0.026194,4.6206
227.23,0.026283,4.611
227.23,0.026309,4.6094
227.23,0.026198,4.5896
227.23,0.026324,4.6134
227.23,0.026261,4.6155
227.23,0.026418,4.6383
227.23,0.026329,4.6432
227.23,0.026301,4.6304
227.23,0.026324,4.6308
227.23,0.026522,4.66
227.23,0.026327,4.6249
227.23,0.026337,4.6514
227.23,0.026348,4.5919
227.23,0.026131,4.5836
227.23,0.026297,4.6387
227.23,0.026232,4.6132
227.23,0.026126,4.5762
227.23,0.026358,4.6232
227.23,0.02633,4.6465
227.23,0.026444,4.658
227.23,0.026347,4.6148
227.23,0.026329,4.6274
227.23,0.026454,4.6614
227.23,0.026433,4.6651
227.23,0.02636,4.6512
227.23,0.02631,4.6346
227.23,0.02617,4.6208
227.23,0.026359,4.6455
227.23,0.026538,4.6709
227.23,0.026251,4.6166
227.23,0.02639,4.6488
227.23,0.026525,4.6636
227.23,0.026504,4.6647
227.23,0.026291,4.603
227.23,0.026194,4.5839
227.23,0.026282,4.6045
227.23,0.026283,4.5963
227.23,0.026393,4.6328
227.23,0.026458,4.6575
227.23,0.026273,4.6297
227.23,0.026375,4.6402
227.23,0.026257,4.6367
227.23,0.026484,4.6523
227.23,0.026241,4.621
227.23,0.026361,4.6231
227.23,0.026412,4.6567
227.23,0.026313,4.6158
227.23,0.02632,4.5932
227.23,0.026284,4.6097
227.23,0.02627,4.6093
227.23,0.026362,4.6319
227.23,0.026401,4.6064
227.23,0.026245,4.6047
227.23,0.026255,4.6093
227.23,0.026438,4.6492
227.23,0.026483,4.6599
227.23,0.026308,4.6058
227.23,0.026356,4.635
227.23,0.026403,4.6244
227.23,0.026361,4.6362
227.23,0.026134,4.6139
227.23,0.026404,4.6238
227.23,0.026174,4.5748
227.23,0.026373,4.6293
227.23,0.026357,4.6092
227.23,0.026424,4.6386
227.23,0.026273,4.5942
227.23,0.026326,4.6196
227.23,0.026316,4.6242
227.22,0.026395,4.642
227.22,0.026363,4.644
227.22,0.026598,4.6628
227.22,0.026407,4.6504
227.22,0.026326,4.6092
227.22,0.02627,4.5969
227.22,0.026306,4.5993
227.22,0.026283,4.5956
227.22,0.026327,4.6489
227.22,0.026338,4.6078
227.22,0.026407,4.6322
227.22,0.026357,4.6052
227.22,0.026396,4.6532
227.22,0.026161,4.5887
227.22,0.026323,4.6208
227.22,0.0264,4.6556
227.22,0.026418,4.6196
227.22,0.026275,4.611
227.22,0.026415,4.6515
227.22,0.026278,4.6383
227.22,0.026375,4.6372
227.22,0.02621,4.6167
227.22,0.026312,4.619
227.22,0.026388,4.6499
227.22,0.026445,4.625
227.22,0.026393,4.6438
227.22,0.026531,4.6373
227.22,0.026436,4.6523
227.22,0.026279,4.6112
227.22,0.026448,4.6501
227.22,0.0263,4.6514
227.22,0.026519,4.641
227.22,0.026477,4.6517
227.22,0.026317,4.6204
227.22,0.026394,4.6353
227.22,0.026277,4.6086
227.22,0.026249,4.6313
227.22,0.026309,4.6403
227.22,0.02621,4.572
227.22,0.026341,4.6446
227.22,0.026144,4.5631
227.22,0.02655,4.6392
227.22,0.026386,4.6215
227.22,0.026421,4.6581
227.22,0.026405,4.6334
227.22,0.026421,4.6614
227.22,0.026404,4.6297
227.22,0.026467,4.6486
227.22,0.026308,4.6107
227.22,0.026551,4.6694
227.22,0.026186,4.5938
227.22,0.026268,4.6311
227.22,0.02629,4.6253
227.22,0.026173,4.6035
227.22,0.026179,4.6085
227.22,0.026409,4.6449
227.22,0.026354,4.6309
227.22,0.026362,4.631
227.22,0.02619,4.6146
227.22,0.02625,4.5907
227.22,0.026263,4.6171
227.22,0.026473,4.6331
227.22,0.026304,4.6118
227.22,0.026364,4.6366
227.22,0.026334,4.6031
227.22,0.026233,4.6235
227.22,0.026403,4.6485
227.22,0.026171,4.5939
227.22,0.026208,4.6137
227.22,0.026331,4.6126
227.22,0.026177,4.6124
227.22,0.026464,4.6405
227.22,0.026305,4.6154
227.22,0.026436,4.6432
227.22,0.026248,4.6109
227.22,0.026395,4.6412
227.22,0.026179,4.5729
227.22,0.026226,4.5873
227.22,0.026276,4.6312
227.22,0.026282,4.5946
227.22,0.026329,4.6403
227.22,0.02628,4.6145
227.22,0.026243,4.6304
227.22,0.026335,4.6303
227.22,0.026366,4.6384
227.22,0.026515,4.6789
227.22,0.026127,4.5912
227.22,0.026312,4.6247
227.22,0.026276,4.6287
227.22,0.026418,4.6245
227.22,0.026289,4.6206
227.22,0.026307,4.6367
227.22,0.026258,4.6295
227.21,0.026421,4.644
227.21,0.026265,4.6249
227.21,0.026314,4.6275
227.21,0.026264,4.6147
227.21,0.026263,4.6059
227.21,0.026265,4.6087
227.21,0.026359,4.6293
227.21,0.026501,4.6445
227.21,0.026407,4.6307
227.21,0.026214,4.6175
227.21,0.026361,4.6317
227.21,0.026271,4.6135
227.21,0.026561,4.6667
227.21,0.026225,4.5913
227.21,0.026081,4.5631
227.21,0.026234,4.6067
227.21,0.026334,4.6246
227.21,0.026297,4.6129
227.21,0.02623,4.6166
227.21,0.026163,4.5859
227.21,0.026145,4.6196
227.21,0.02641,4.6135
227.21,0.026293,4.6151
227.21,0.026177,4.5958
227.21,0.02647,4.675
227.21,0.026356,4.6388
227.21,0.026391,4.6683
227.21,0.026417,4.6362
227.21,0.026271,4.5841
227.21,0.026401,4.6459
227.21,0.026461,4.6506
227.21,0.026264,4.6254
227.21,0.026318,4.6264
227.21,0.026438,4.6348
227.21,0.026256,4.6069
227.21,0.026451,4.6491
227.21,0.026351,4.6374
227.21,0.026184,4.6164
227.21,0.026139,4.6021
227.21,0.026231,4.5983
227.21,0.026194,4.6012
227.21,0.026432,4.6299
227.21,0.026547,4.6541
227.21,0.026434,4.6678
227.21,0.026339,4.6275
227.21,0.026303,4.6263
227.21,0.026371,4.6419
227.21,0.026351,4.6425
227.21,0.026365,4.6246
227.21,0.026305,4.5995
227.21,0.026324,4.6077
227.21,0.026254,4.6225
227.21,0.026231,4.5818
227.21,0.026182,4.6004
227.21,0.026328,4.6376
227.21,0.026301,4.6322
227.21,0.026463,4.6354
227.21,0.026474,4.6298
227.21,0.026216,4.6032
227.21,0.026247,4.6404
227.21,0.026416,4.6582
227.21,0.026304,4.623
227.21,0.026194,4.6023
227.21,0.026252,4.6002
227.21,0.026218,4.5959
227.21,0.026513,4.6697
227.21,0.026417,4.6526
227.21,0.026463,4.6218
227.21,0.026417,4.6128
227.21,0.026279,4.624
227.21,0.026325,4.6263
227.21,0.026301,4.6316
227.21,0.026396,4.655
227.21,0.026368,4.6134
227.21,0.026456,4.6631
227.21,0.026212,4.6045
227.21,0.026174,4.5978
227.21,0.026305,4.6168
227.21,0.026296,4.622
227.21,0.02638,4.6205
227.21,0.026206,4.6318
227.21,0.026297,4.6258
227.21,0.0263,4.6194
227.21,0.026214,4.6016
227.21,0.026236,4.6244
227.21,0.026271,4.6185
227.21,0.026364,4.623
227.21,0.026418,4.661
227.21,0.026457,4.6574
227.21,0.0262,4.6082
227.21,0.026445,4.6378
227.21,0.026298,4.6058
227.21,0.026258,4.6258
227.21,0.026211,4.6094
227.21,0.026432,4.6363
227.21,0.026168,4.5901
227.21,0.026197,4.6124
227.21,0.026297,4.6213
227.21,0.026384,4.6334
227.21,0.026364,4.6186
227.21,0.026241,4.5973
227.21,0.026509,4.6476
227.21,0.02621,4.5981
227.21,0.026325,4.6513
227.21,0.026392,4.6382
227.21,0.026124,4.6165
227.21,0.026288,4.6289
227.21,0.026237,4.625
227.21,0.026218,4.5981
227.21,0.026345,4.6227
227.21,0.026224,4.5979
227.21,0.026574,4.6628
227.21,0.026298,4.6265
227.21,0.026141,4.6057
227.21,0.026251,4.5836
227.21,0.026213,4.6059
227.21,0.026266,4.619
227.21,0.026359,4.6137
227.21,0.026201,4.6228
227.21,0.026337,4.6245
227.21,0.026501,4.6512
227.21,0.026336,4.6436
227.21,0.02637,4.6374
227.21,0.02628,4.6268
227.21,0.02626,4.6043
227.21,0.026208,4.5905
227.21,0.026373,4.6234
227.21,0.026251,4.6105
227.21,0.026449,4.6497
227.21,0.026479,4.6708
227.21,0.026568,4.6702
227.21,0.026299,4.6094
227.21,0.026432,4.6588
227.21,0.026322,4.613
227.21,0.026263,4.6359
227.21,0.026352,4.6592
227.21,0.026153,4.5976
227.21,0.026645,4.6817
227.21,0.026373,4.6078
227.21,0.026321,4.609
227.21,0.026352,4.6252
227.21,0.026282,4.5923
227.21,0.02616,4.6083
227.21,0.026286,4.6213
227.21,0.026164,4.5944
227.21,0.026314,4.6369
227.21,0.025998,4.5384
227.21,0.026416,4.6245
227.21,0.026179,4.5511
227.21,0.026274,4.5974
227.21,0.026141,4.5929
227.21,0.026158,4.5839
227.21,0.026325,4.6372
227.21,0.026235,4.6072
227.21,0.026362,4.654
227.21,0.026381,4.6367
227.21,0.026349,4.6358
227.21,0.026348,4.6334
227.21,0.026198,4.63
227.21,0.026339,4.6147
227.21,0.02629,4.6096
227.21,0.026165,4.5978
227.2,0.026316,4.6293
227.2,0.026403,4.6633
227.2,0.026324,4.622
227.2,0.026624,4.6797
227.2,0.02631,4.6276
227.2,0.026362,4.6408
227.2,0.026145,4.6001
227.2,0.026447,4.6603
227.2,0.026365,4.6236
227.2,0.02631,4.6121
227.2,0.026171,4.5988
227.2,0.026476,4.6275
227.2,0.026132,4.5819
227.2,0.026502,4.6842
227.2,0.026342,4.6289
227.2,0.026282,4.6287
227.2,0.026423,4.6213
227.2,0.026626,4.6867
227.2,0.026359,4.642
227.2,0.026352,4.6415
227.2,0.026311,4.6449
227.2,0.026206,4.6022
227.2,0.026343,4.6166
227.2,0.026144,4.5742
227.2,0.026354,4.6302
227.2,0.026324,4.615
227.2,0.026265,4.643
227.2,0.026247,4.5996
227.2,0.026277,4.6198
227.2,0.026168,4.6154
227.2,0.026376,4.6266
227.2,0.026239,4.6195
227.2,0.026343,4.6266
227.2,0.026212,4.604
227.2,0.026095,4.5862
227.2,0.026444,4.6531
227.2,0.02632,4.6405
227.2,0.026114,4.5964
227.2,0.026259,4.6248
227.2,0.026456,4.6375
227.2,0.026427,4.6635
227.2,0.026426,4.6504
227.2,0.026399,4.6356
227.2,0.026258,4.635
227.2,0.02641,4.617
227.2,0.026415,4.6345
227.2,0.026341,4.6288
227.2,0.026297,4.6208
227.2,0.026165,4.6125
227.2,0.026276,4.613
227.2,0.02632,4.6386
227.2,0.026206,4.5759
227.2,0.026468,4.6618
227.2,0.026393,4.6364
227.2,0.026235,4.6095
227.2,0.026262,4.634
227.2,0.026274,4.6335
227.2,0.026152,4.5847
227.2,0.026364,4.6065
227.2,0.026445,4.6093
227.2,0.026222,4.6199
227.2,0.026363,4.6176
227.2,0.02652,4.6628
227.2,0.02627,4.6011
227.2,0.026331,4.6212
227.2,0.026197,4.5975
227.2,0.026262,4.6004
227.2,0.026181,4.6003
227.2,0.026304,4.6127
227.2,0.026375,4.6238
227.2,0.026232,4.6216
227.2,0.026334,4.6133
227.2,0.026342,4.6272
227.2,0.026272,4.5951
227.2,0.026289,4.5969
227.2,0.026181,4.5992
227.2,0.026328,4.6239
227.2,0.026449,4.6508
227.2,0.026278,4.6016
227.2,0.026313,4.6148
227.2,0.026172,4.6131
227.2,0.026326,4.6093
227.2,0.026313,4.6095
227.2,0.026419,4.6216
227.2,0.026147,4.5866
227.2,0.02628,4.6246
227.2,0.026427,4.6353
227.2,0.026207,4.591
227.2,0.026268,4.6154
227.2,0.026027,4.568
227.2,0.026305,4.6115
227.2,0.026238,4.6182
227.2,0.026177,4.5959
227.2,0.026061,4.5891
227.2,0.026352,4.6315
227.2,0.026535,4.6764
227.2,0.026218,4.6122
227.2,0.026189,4.5689
227.2,0.02617,4.6036
227.2,0.026388,4.6409
227.2,0.026173,4.583
227.2,0.026423,4.6508
227.2,0.026363,4.6396
227.2,0.026409,4.6407
227.2,0.026276,4.6133
227.2,0.026363,4.6498
227.2,0.026384,4.6324
227.2,0.026507,4.6672
227.2,0.02621,4.6106
227.2,0.026241,4.6087
227.2,0.026445,4.6635
227.2,0.026378,4.6303
227.2,0.026253,4.6241
227.2,0.026177,4.5929
227.2,0.0262,4.6163
227.2,0.026393,4.6529
227.2,0.02633,4.6394
227.2,0.026368,4.6338
227.2,0.026451,4.6355
227.2,0.026245,4.5923
227.2,0.026363,4.6072
227.2,0.026478,4.6595
227.2,0.026308,4.6295
227.2,0.026415,4.6401
227.2,0.026345,4.6215
227.2,0.026425,4.66
227.2,0.026324,4.6252
227.2,0.026296,4.6113
227.2,0.026332,4.6378
227.2,0.02646,4.6537
227.2,0.026359,4.6226
227.2,0.026394,4.6501
227.2,0.026379,4.6366
227.2,0.026274,4.6221
227.2,0.026276,4.5936
227.2,0.026373,4.6408
227.2,0.026215,4.613
227.2,0.026353,4.6382
227.2,0.026331,4.6262
227.2,0.026453,4.6353
227.2,0.026503,4.6539
227.2,0.02635,4.6441
227.2,0.02631,4.6221
227.2,0.026276,4.6338
227.2,0.026435,4.6485
227.2,0.026212,4.6072
227.2,0.026331,4.6193
227.2,0.026378,4.6679
227.2,0.026183,4.605
227.2,0.026202,4.6102
227.2,0.026341,4.6146
227.2,0.026281,4.6214
227.2,0.026345,4.6458
227.2,0.026216,4.6183
227.2,0.026377,4.6512
227.2,0.026213,4.5901
227.2,0.026268,4.5982
227.2,0.026382,4.6315
227.2,0.026493,4.6346
227.2,0.026515,4.6859
227.2,0.026243,4.5864
227.2,0.026276,4.6122
227.2,0.026224,4.5916
227.2,0.026281,4.6204
227.2,0.026178,4.5659
227.2,0.026284,4.6112
227.2,0.026424,4.6325
227.2,0.026376,4.6217
227.2,0.026551,4.6453
227.2,0.026468,4.6565
227.2,0.026249,4.602
227.2,0.026376,4.6249
227.2,0.026211,4.5989
227.2,0.026298,4.6255
227.2,0.026421,4.6412
227.2,0.026566,4.6649
227.2,0.02644,4.6373
227.2,0.0262,4.583
227.2,0.026382,4.6218
227.2,0.026222,4.6248
227.2,0.026287,4.5955
227.2,0.026438,4.6281
227.2,0.026294,4.6436
227.2,0.026364,4.6075
227.2,0.026077,4.5821
227.2,0.026378,4.6367
227.2,0.026412,4.6471
227.2,0.026354,4.669
227.2,0.026188,4.5764
227.2,0.02627,4.5968
227.19,0.026382,4.6222
227.19,0.0264,4.6386
227.19,0.026394,4.6357
227.19,0.026353,4.6304
227.19,0.026185,4.6145
227.19,0.026227,4.6144
227.19,0.026418,4.6519
227.19,0.026459,4.6183
227.19,0.026375,4.6592
227.19,0.026351,4.6263
227.19,0.026275,4.623
227.19,0.026325,4.6245
