测量电压值（采集30分钟，每秒钟记录50次）,测量电流值（采集30分钟，每秒钟记录50次）,测量功率值（采集30分钟，每秒钟记录50次）
100.03,0.026364,4.6141
199.56,0.026284,4.6348
40.66,0.026267,4.6094
226.86,0.026232,4.5993
111.678,0.026388,4.642
90.57,0.02607,4.5674
30.54,0.026307,4.6185
99.4,0.026167,4.5945
225.56,0.02628,4.6062
0.6,0.02628,4.6062
